cID,countryname,continent,year,l_yield,temp
5,"Argentina","SA",2007,.7228887,-1.972185
5,"Argentina","SA",2008,.5815998,-.7842271
6,"Australia","OC",1961,-.023876,-.7367024
6,"Australia","OC",1962,.0333301,-.8425426
6,"Australia","OC",1963,.0817179,-.8078083
6,"Australia","OC",1964,.0984892,-1.267793
6,"Australia","OC",1965,-.2127763,-.5773619
6,"Australia","OC",1966,.1840633,-1.432996
6,"Australia","OC",1967,-.4359475,-.5946476
6,"Australia","OC",1968,.0550142,-1.208442
6,"Australia","OC",1969,-.1626728,-1.075267
6,"Australia","OC",1970,-.0517386,-1.298097
6,"Australia","OC",1971,-.0817874,-1.108652
6,"Australia","OC",1972,-.3900278,-.578666
6,"Australia","OC",1973,-.0151912,-.7509966
6,"Australia","OC",1974,-.0439659,-.9459389
6,"Australia","OC",1975,-.0302431,-.7689578
6,"Australia","OC",1976,-.0733843,-.8397619
6,"Australia","OC",1977,-.3739823,-.7591862
6,"Australia","OC",1978,.1193569,-.9424551
6,"Australia","OC",1979,.0376622,-.7207091
6,"Australia","OC",1980,-.3869788,-.4627734
6,"Australia","OC",1981,-.1316895,-.6724473
6,"Australia","OC",1982,-.6114916,-.5861809
6,"Australia","OC",1983,.0326294,-.8892604
6,"Australia","OC",1984,-.024127,-1.355386
6,"Australia","OC",1985,-.1758724,-.7928131
6,"Australia","OC",1986,-.1452298,-1.22472
6,"Australia","OC",1987,-.1768577,-1.173041
6,"Australia","OC",1988,-.1090172,-.6213436
6,"Australia","OC",1989,-.0709474,-1.109814
6,"Australia","OC",1990,-.0547848,-1.155553
6,"Australia","OC",1991,-.1381856,-.6106002
6,"Australia","OC",1992,.0776742,-1.38226
6,"Australia","OC",1993,.0461646,-.9974129
6,"Australia","OC",1994,-.3831735,-1.115708
6,"Australia","OC",1995,-.0080016,-1.505637
6,"Australia","OC",1996,.0639815,-1.18041
6,"Australia","OC",1997,.0155713,-1.145571
6,"Australia","OC",1998,.006029,-1.569939
6,"Australia","OC",1999,.0657885,-1.449198
6,"Australia","OC",2000,.0051462,-1.392205
6,"Australia","OC",2001,.0824031,-1.702017
6,"Australia","OC",2002,-.6229104,-1.470101
6,"Australia","OC",2003,-.0068735,-1.561628
6,"Australia","OC",2004,-.2309119,-1.595927
6,"Australia","OC",2005,-.0236986,-1.645391
6,"Australia","OC",2006,-.7199703,-1.617631
6,"Australia","OC",2007,-.5397685,-1.394861
6,"Australia","OC",2008,-.2576064,-1.863585
7,"Austria","EU",1961,.8201348,-8.473635
7,"Austria","EU",1962,.7800599,-9.875305
7,"Austria","EU",1963,.7511243,-9.811826
7,"Austria","EU",1964,.7818812,-9.272548
7,"Austria","EU",1965,.6498742,-9.795321
7,"Austria","EU",1966,.896889,-8.618426
7,"Austria","EU",1967,.9283808,-8.273913
7,"Austria","EU",1968,.9701839,-8.802125
7,"Austria","EU",1969,.9970862,-9.451218
7,"Austria","EU",1970,.912121,-9.429873
7,"Austria","EU",1971,.9760415,-8.800289
7,"Austria","EU",1972,.9038618,-9.222491
7,"Austria","EU",1973,1.057814,-9.192773
7,"Austria","EU",1974,1.028008,-8.264074
7,"Austria","EU",1975,.9457834,-8.378225
7,"Austria","EU",1976,1.058775,-8.625978
7,"Austria","EU",1977,1.048632,-8.597102
7,"Austria","EU",1978,1.080729,-9.453986
7,"Austria","EU",1979,.9416806,-9.080167
7,"Austria","EU",1980,1.069676,-9.934232
7,"Austria","EU",1981,.9531522,-8.779166
7,"Austria","EU",1982,1.085523,-8.617973
7,"Austria","EU",1983,1.093441,-8.417365
7,"Austria","EU",1984,1.127607,-9.264401
7,"Austria","EU",1985,1.112413,-9.647591
7,"Austria","EU",1986,1.008646,-9.194311
7,"Austria","EU",1987,1.063321,-9.75707
7,"Austria","EU",1988,1.11583,-8.680173
7,"Austria","EU",1989,1.078225,-8.40148
7,"Austria","EU",1990,1.123865,-8.683578
7,"Austria","EU",1991,1.087748,-9.479887
7,"Austria","EU",1992,1.078601,-8.057121
7,"Austria","EU",1993,.9923168,-9.075482
7,"Austria","EU",1994,1.066834,-7.885486
7,"Austria","EU",1995,1.073033,-9.03863
7,"Austria","EU",1996,.9947085,-10.11311
7,"Austria","EU",1997,1.124115,-9.252274
7,"Austria","EU",1998,1.060991,-9.200151
7,"Austria","EU",1999,1.100232,-8.883101
7,"Austria","EU",2000,1.020313,-7.952038
7,"Austria","EU",2001,1.053389,-9.063067
7,"Austria","EU",2002,1.023522,-8.450584
7,"Austria","EU",2003,.9755523,-8.803648
7,"Austria","EU",2004,1.163286,-9.251369
7,"Austria","EU",2005,1.088192,-9.588428
7,"Austria","EU",2006,.9715437,-9.031299
7,"Austria","EU",2007,1.018159,-8.165296
7,"Austria","EU",2008,1.132585,-8.172892
8,"Bangladesh","AS",1961,.4150068,4.907831
8,"Bangladesh","AS",1962,.2515317,5.037615
8,"Bangladesh","AS",1963,.3901543,5.091575
8,"Bangladesh","AS",1964,.3437923,5.314491
8,"Bangladesh","AS",1965,.3167266,5.14612
8,"Bangladesh","AS",1966,.269831,5.269428
8,"Bangladesh","AS",1967,.2690452,4.969745
8,"Bangladesh","AS",1968,.310164,4.970191
8,"Bangladesh","AS",1969,.2735573,5.016924
8,"Bangladesh","AS",1970,.2618653,5.032935
8,"Bangladesh","AS",1971,.1389109,4.796157
8,"Bangladesh","AS",1972,.1204765,5.116866
8,"Bangladesh","AS",1973,.2878445,4.839787
8,"Bangladesh","AS",1974,.1597013,5.068669
8,"Bangladesh","AS",1975,.228524,5.127601
8,"Bangladesh","AS",1976,.2002821,5.402697
8,"Bangladesh","AS",1977,.2927949,4.830181
8,"Bangladesh","AS",1978,.2563566,4.854353
8,"Bangladesh","AS",1979,.2518527,5.431707
8,"Bangladesh","AS",1980,.2581308,5.128886
8,"Bangladesh","AS",1981,.1921659,4.765768
8,"Bangladesh","AS",1982,.2134009,4.924859
8,"Bangladesh","AS",1983,.3251594,4.599782
8,"Bangladesh","AS",1984,.2583061,4.91559
8,"Bangladesh","AS",1985,.2152671,5.286237
8,"Bangladesh","AS",1986,.1987615,5.125189
8,"Bangladesh","AS",1987,.2507623,5.079511
8,"Bangladesh","AS",1988,.2073256,5.180489
8,"Bangladesh","AS",1989,.3288347,4.81657
8,"Bangladesh","AS",1990,.317644,4.507014
8,"Bangladesh","AS",1991,.3397464,4.774333
8,"Bangladesh","AS",1992,.4029735,4.615132
8,"Bangladesh","AS",1993,.3370625,4.577111
8,"Bangladesh","AS",1994,.2870536,4.606416
8,"Bangladesh","AS",1995,.3183796,4.612905
8,"Bangladesh","AS",1996,.2992992,5.061605
8,"Bangladesh","AS",1997,.3325073,4.523996
8,"Bangladesh","AS",1998,.3724788,4.800795
8,"Bangladesh","AS",1999,.4553526,5.16856
8,"Bangladesh","AS",2000,.5501763,4.541128
8,"Bangladesh","AS",2001,.4825062,4.497316
8,"Bangladesh","AS",2002,.5146552,4.450881
8,"Bangladesh","AS",2003,.5030333,4.489738
8,"Bangladesh","AS",2004,.4710544,4.747813
8,"Bangladesh","AS",2005,.5437028,4.669842
8,"Bangladesh","AS",2006,.5514082,4.950452
8,"Bangladesh","AS",2007,.6272933,4.521498
8,"Bangladesh","AS",2008,.5929952,4.766057
9,"Belize","NM",1961,-.6214531,1.501274
9,"Belize","NM",1962,-.676051,1.257523
9,"Belize","NM",1963,-.5333939,1.261308
9,"Belize","NM",1964,-.5426246,1.619457
9,"Belize","NM",1965,-.494443,1.518713
9,"Belize","NM",1966,-.7778923,1.027679
9,"Belize","NM",1967,-.2231608,1.438662
9,"Belize","NM",1968,-.0743107,1.229399
9,"Belize","NM",1969,-.0302971,1.57374
9,"Belize","NM",1970,.2391616,1.399819
9,"Belize","NM",1971,.1042034,1.938956
9,"Belize","NM",1972,.0263812,1.919909
9,"Belize","NM",1973,.329213,1.716905
9,"Belize","NM",1974,-.1034651,1.797536
9,"Belize","NM",1975,-.3234097,1.747483
9,"Belize","NM",1976,.0016947,1.453104
9,"Belize","NM",1977,.1037132,1.413389
9,"Belize","NM",1978,.2166022,1.627829
9,"Belize","NM",1979,.1626812,1.637756
9,"Belize","NM",1980,.2495688,1.903109
9,"Belize","NM",1981,.2589923,1.215937
9,"Belize","NM",1982,.2295872,1.721785
9,"Belize","NM",1983,.1575283,1.451482
9,"Belize","NM",1984,-.0772762,1.454196
9,"Belize","NM",1985,-.1335598,1.618936
9,"Belize","NM",1986,-.0038518,1.672255
9,"Belize","NM",1987,-.0041463,1.173142
9,"Belize","NM",1988,-.0745734,1.414856
9,"Belize","NM",1989,-.1098125,1.597659
9,"Belize","NM",1990,.105184,1.53932
9,"Belize","NM",1991,.2122139,1.848624
9,"Belize","NM",1992,.1787918,1.861148
9,"Belize","NM",1993,.1200091,1.786429
9,"Belize","NM",1994,-.0578962,1.66315
9,"Belize","NM",1995,-.0595482,1.771079
9,"Belize","NM",1996,.2268429,1.678364
9,"Belize","NM",1997,.2191784,1.679771
9,"Belize","NM",1998,.219642,1.30336
9,"Belize","NM",1999,.3505414,1.07735
9,"Belize","NM",2000,.2148792,1.103729
9,"Belize","NM",2001,.417045,1.271367
9,"Belize","NM",2002,.2167589,1.324966
9,"Belize","NM",2003,.3399035,1.324079
9,"Belize","NM",2004,.1615232,1.386538
9,"Belize","NM",2005,.3527992,1.403901
9,"Belize","NM",2006,.035624,1.197602
9,"Belize","NM",2007,.2223337,1.274614
9,"Belize","NM",2008,.100894,1.177323
10,"Benin","AF",1961,-.7093948,7.539964
10,"Benin","AF",1962,-.8769816,7.733324
10,"Benin","AF",1963,-.85529,8.0257
10,"Benin","AF",1964,-.8181416,7.83934
10,"Benin","AF",1965,-.7911506,7.903254
10,"Benin","AF",1966,-.8131782,7.819454
10,"Benin","AF",1967,-.7998015,7.780686
10,"Benin","AF",1968,-.792159,7.977833
10,"Benin","AF",1969,-.8569869,8.110433
10,"Benin","AF",1970,-.7983602,8.082919
10,"Benin","AF",1971,-.9502075,7.584798
10,"Benin","AF",1972,-.9080245,7.699467
10,"Benin","AF",1973,-.6662337,7.914546
10,"Benin","AF",1974,-.7213083,7.514619
10,"Benin","AF",1975,-.6788527,7.312643
10,"Benin","AF",1976,-.6923494,7.532413
10,"Benin","AF",1977,-.6437663,7.674806
10,"Benin","AF",1978,-.6993105,7.531521
10,"Benin","AF",1979,-.701907,7.661664
10,"Benin","AF",1980,-.7688696,7.748519
10,"Benin","AF",1981,-.8943395,7.75181
10,"Benin","AF",1982,-.9103522,7.501277
10,"Benin","AF",1983,-.9769989,7.688066
10,"Benin","AF",1984,-.7243204,7.770864
10,"Benin","AF",1985,-.7052218,7.79882
10,"Benin","AF",1986,-.7441306,7.596673
10,"Benin","AF",1987,-.860233,8.06186
10,"Benin","AF",1988,-.7780317,7.631098
10,"Benin","AF",1989,-.7457116,7.369594
10,"Benin","AF",1990,-.7599497,7.569455
10,"Benin","AF",1991,-.7397891,7.623374
10,"Benin","AF",1992,-.6530268,7.530757
10,"Benin","AF",1993,-.7209896,7.714362
10,"Benin","AF",1994,-.6636706,7.374967
10,"Benin","AF",1995,-.551605,7.596229
10,"Benin","AF",1996,-.6823096,7.96023
10,"Benin","AF",1997,-.5436476,7.580478
10,"Benin","AF",1998,-.6258007,7.780834
10,"Benin","AF",1999,-.5306671,7.561443
10,"Benin","AF",2000,-.5717533,7.826486
10,"Benin","AF",2001,-.6478329,7.770708
10,"Benin","AF",2002,-.7640837,7.68514
10,"Benin","AF",2003,-.6051672,7.900488
10,"Benin","AF",2004,-.6275288,7.805297
10,"Benin","AF",2005,-.6318405,7.941933
10,"Benin","AF",2006,-.6551653,8.044335
10,"Benin","AF",2007,-.4970023,7.91728
10,"Benin","AF",2008,-.5011453,7.685683
11,"Bhutan","AS",1961,.2607572,3.826431
11,"Bhutan","AS",1962,.20142,3.938065
11,"Bhutan","AS",1963,.1946907,3.763124
11,"Bhutan","AS",1964,.1822151,4.010057
11,"Bhutan","AS",1965,.1668686,3.639511
11,"Bhutan","AS",1966,.1812847,3.848062
11,"Bhutan","AS",1967,.1106533,3.458987
11,"Bhutan","AS",1968,.1228061,3.391806
11,"Bhutan","AS",1969,.0898668,3.771117
11,"Bhutan","AS",1970,.1137282,3.544494
11,"Bhutan","AS",1971,.0421469,3.496773
11,"Bhutan","AS",1972,.0446598,3.732793
11,"Bhutan","AS",1973,.072749,3.634946
11,"Bhutan","AS",1974,-.0094782,3.944103
11,"Bhutan","AS",1975,-.0065515,3.902776
11,"Bhutan","AS",1976,-.0062666,4.380304
11,"Bhutan","AS",1977,.0062906,3.682207
11,"Bhutan","AS",1978,-.0326931,3.66042
11,"Bhutan","AS",1979,-.013976,4.071973
11,"Bhutan","AS",1980,-.0837604,3.892894
11,"Bhutan","AS",1981,-.0923728,3.829435
11,"Bhutan","AS",1982,-.1103982,3.748484
11,"Bhutan","AS",1983,-.1088654,3.086549
11,"Bhutan","AS",1984,-.133687,3.796722
11,"Bhutan","AS",1985,-.2230812,4.015295
11,"Bhutan","AS",1986,-.249,3.657772
11,"Bhutan","AS",1987,-.3716108,3.55296
11,"Bhutan","AS",1988,-.5778188,3.978289
11,"Bhutan","AS",1989,-.5724505,3.521211
11,"Bhutan","AS",1990,-.4841033,3.492213
11,"Bhutan","AS",1991,-.4841457,3.499091
11,"Bhutan","AS",1992,-.4205758,3.360589
11,"Bhutan","AS",1993,-.4427909,3.693196
11,"Bhutan","AS",1994,-.3461294,3.496675
11,"Bhutan","AS",1995,-.2730311,3.338311
11,"Bhutan","AS",1996,-.3032427,3.628065
11,"Bhutan","AS",1997,-.2301796,2.96813
11,"Bhutan","AS",1998,-.256169,3.731802
11,"Bhutan","AS",1999,-.2970164,4.212934
11,"Bhutan","AS",2000,-.3034948,3.417379
11,"Bhutan","AS",2001,-.3442841,3.743924
11,"Bhutan","AS",2002,-.2642163,3.302806
11,"Bhutan","AS",2003,-.1768382,3.301595
11,"Bhutan","AS",2004,.3295244,3.436505
11,"Bhutan","AS",2005,.0965407,3.496251
11,"Bhutan","AS",2006,-.0562711,4.03551
11,"Bhutan","AS",2007,-.0814979,3.75753
11,"Bhutan","AS",2008,-.1307806,3.741448
12,"Bolivia","SA",1961,-.1512187,4.927797
12,"Bolivia","SA",1962,-.2182077,4.675373
12,"Bolivia","SA",1963,-.2251602,5.118183
12,"Bolivia","SA",1964,-.4113547,4.531057
12,"Bolivia","SA",1965,-.1457244,5.114445
12,"Bolivia","SA",1966,-.1686756,4.733953
12,"Bolivia","SA",1967,-.1592795,5.37667
12,"Bolivia","SA",1968,-.1589832,5.032465
12,"Bolivia","SA",1969,-.1926263,5.312899
12,"Bolivia","SA",1970,-.193848,5.189593
12,"Bolivia","SA",1971,-.222286,4.610398
12,"Bolivia","SA",1972,-.2365206,5.219349
12,"Bolivia","SA",1973,-.2041327,4.883937
12,"Bolivia","SA",1974,-.2975994,4.400935
12,"Bolivia","SA",1975,-.2451117,4.572126
12,"Bolivia","SA",1976,-.1686873,4.449347
12,"Bolivia","SA",1977,-.3239149,4.429805
12,"Bolivia","SA",1978,-.3280727,4.755302
12,"Bolivia","SA",1979,-.250881,4.188798
12,"Bolivia","SA",1980,-.327574,4.371343
12,"Bolivia","SA",1981,-.2064838,4.377911
12,"Bolivia","SA",1982,-.2529453,4.600818
12,"Bolivia","SA",1983,-.4233557,4.572824
12,"Bolivia","SA",1984,-.2316565,4.943506
12,"Bolivia","SA",1985,-.2595984,5.257753
12,"Bolivia","SA",1986,-.3121881,5.332715
12,"Bolivia","SA",1987,-.2513673,5.218434
12,"Bolivia","SA",1988,-.3188399,4.723406
12,"Bolivia","SA",1989,-.2845471,4.257411
12,"Bolivia","SA",1990,-.2868401,3.876538
